,time,temp
544,1980-06-29,36.043243340000004
545,1980-06-30,33.98347166
546,1980-07-01,31.316485604
547,1980-07-02,36.94774784
548,1980-07-03,36.1389893
549,1980-07-04,34.47543938
550,1980-07-05,37.69273076
551,1980-07-06,38.1671753
552,1980-07-07,37.238555840000004
553,1980-07-08,36.4154054
554,1980-07-09,34.15046378
555,1980-07-10,32.9953064
556,1980-07-11,36.978125
557,1980-07-12,38.08378904
558,1980-07-13,37.31452628
559,1980-07-14,36.84041132
560,1980-07-15,36.368384
561,1980-07-16,36.80805668
562,1980-07-17,34.41907958
563,1980-07-18,35.3514893
564,1980-07-19,36.02841188
565,1980-07-20,38.48945918
566,1980-07-21,36.6250244
567,1980-07-22,37.26333014
568,1980-07-23,38.71110848
569,1980-07-24,36.6981386
570,1980-07-25,35.97924812
571,1980-07-26,38.097741740000004
572,1980-07-27,37.75562744
573,1980-07-28,37.91492924
574,1980-07-29,36.23698724
575,1980-07-30,37.7375
576,1980-07-31,36.72703256
577,1980-08-01,36.35498048
578,1980-08-02,34.85853266
579,1980-08-03,36.57053228
580,1980-08-04,35.4984314
581,1980-08-05,37.51508174
582,1980-08-06,37.37550056
583,1980-08-07,38.76543572
584,1980-08-08,37.56940916
585,1980-08-09,37.90916132
586,1980-08-10,37.0969421
587,1980-08-11,37.58989874
588,1980-08-12,37.0953491
589,1980-08-13,36.91500854
590,1980-08-14,35.02684328
591,1980-08-15,33.17438354
592,1980-08-16,35.06112068
593,1980-08-17,35.03771978
594,1980-08-18,37.07678228
595,1980-08-19,34.45736702
596,1980-08-20,35.83713992
597,1980-08-21,34.9267028
598,1980-08-22,35.30551154
599,1980-08-23,38.1893126
600,1980-08-24,35.6046143
601,1980-08-25,35.25036008
602,1980-08-26,37.2592652
603,1980-08-27,35.39895026
604,1980-08-28,35.2282226
605,1980-08-29,33.360821528
606,1980-08-30,33.94117436
607,1980-08-31,35.42910764
608,1980-09-01,35.02063598
609,1980-09-02,24.569726539999998
610,1980-09-03,25.206494
611,1980-09-04,29.90985116
612,1980-09-05,33.65421143
613,1980-09-06,31.852838138
614,1980-09-07,33.78346556
615,1980-09-08,35.9889161
616,1980-09-09,35.103308
617,1980-09-10,32.92867436
618,1980-09-11,30.24784544
619,1980-09-12,32.36002196
620,1980-09-13,35.61521612
621,1980-09-14,37.56787106
622,1980-09-15,39.0921143
623,1980-09-16,37.111773740000004
624,1980-09-17,35.1749939
625,1980-09-18,32.84984741
626,1980-09-19,36.29658812
